id,title,price,currency_id,available_quantity,condition,permalink,thumbnail_id,shipping.free_shipping
MLA746583594,Google Chromecast 3 Generacion 1080p Caja 100% Original,56599,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-746583594-google-chromecast-3-generacion-1080p-caja-100-original-_JM,http://http2.mlstatic.com/D_841598-MLA31021561008_062019-I.jpg,True
MLA1577820164,Chromecast Google Tv Hd 8gb 2gb Ram Wifi Bt 4ta Gen Blanco,99216,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1577820164-chromecast-google-tv-hd-8gb-2gb-ram-wifi-bt-4ta-gen-blanco-_JM,http://http2.mlstatic.com/D_652135-MLA53313434104_012023-I.jpg,True
MLA1520868370,Google Chromecast Con Google Tv 4.ª Generación 4k 8gb 2gb,84099,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1520868370-google-chromecast-con-google-tv-4-generacion-4k-8gb-2gb-_JM,http://http2.mlstatic.com/D_710781-MLA74779495325_022024-I.jpg,True
MLA1149489443,Google Nest Mini Nest Mini 2nd Gen Con Asistente Virtual Google Assistant Chalk 110v/220v,62091,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1149489443-google-nest-mini-nest-mini-2nd-gen-con-asistente-virtual-google-assistant-chalk-110v220v-_JM,http://http2.mlstatic.com/D_748685-MLA45255603145_032021-I.jpg,True
MLA936088119,"Google Nest Hub 2nd Gen Con Asistente Virtual Google Assistant, Pantalla Integrada De 7  Charcoal 110v/220v",310199.06,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-936088119-google-nest-hub-2nd-gen-con-asistente-virtual-google-assistant-pantalla-integrada-de-7-charcoal-110v220v-_JM,http://http2.mlstatic.com/D_678299-MLA48754487602_012022-I.jpg,True
MLA1146279904,Google Home Mini Con Asistente Virtual Google Assistant Coral 110v/220v,66840,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1146279904-google-home-mini-con-asistente-virtual-google-assistant-coral-110v220v-_JM,http://http2.mlstatic.com/D_747055-MLA51559102373_092022-I.jpg,True
MLA1392974207,Google Home Mini Con Asistente Virtual Google Assistant Charcoal 110v/220v,89662,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1392974207-google-home-mini-con-asistente-virtual-google-assistant-charcoal-110v220v-_JM,http://http2.mlstatic.com/D_600981-MLU72605014728_112023-I.jpg,True
MLA1128217663,"Google Nest Hub 2nd Gen Con Asistente Virtual Google Assistant, Pantalla Integrada De 7  Chalk 110v/220v",200960,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1128217663-google-nest-hub-2nd-gen-con-asistente-virtual-google-assistant-pantalla-integrada-de-7-chalk-110v220v-_JM,http://http2.mlstatic.com/D_727920-MLA48754487544_012022-I.jpg,True
MLA1376911913,Google Home Mini Con Asistente Virtual Google Assistant Chalk 110v/220v,128999,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1376911913-google-home-mini-con-asistente-virtual-google-assistant-chalk-110v220v-_JM,http://http2.mlstatic.com/D_925569-MLU72639569259_112023-I.jpg,True
MLA1597470910,Google Home Mini Con Google Assistant Negro Reacondicionado,45724.88,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1597470910-google-home-mini-con-google-assistant-negro-reacondicionado-_JM,http://http2.mlstatic.com/D_724132-MLA73322329866_122023-I.jpg,True
MLA1597574484,Parlante Google Home Mini Asistente Virtual Refabricado,45724.88,ARS,,new,https://articulo.mercadolibre.com.ar/MLA-1597574484-parlante-google-home-mini-asistente-virtual-refabricado-_JM,http://http2.mlstatic.com/D_796916-MLA73322349956_122023-I.jpg,True
